,Comment
3739,vold: avoid mismatch wrong device with same prefix\n\nSuppose we have two devices whose devpath are\n\n  /devices/...../mmcblk1\n  /devices/...../mmcblk11\n\nand the first is the target device. The current implementation will\nmismatch the later device.\n\nSince we hope to match the target device and its partitions\nwhose devpath are\n\n  /devices/...../mmcblk1/...\n\nso the correct devpath should have the expected prefix\nfollowed by \u0027\\0\u0027 or \u0027/\u0027.\n\nChange-Id: I398b55712b884a8499f73a52bc863b4d8294ee5e\n
3740,Added -android-hw option\n\nChange-Id: I8dac387cd43c5eff7e9b6adf0d718261d0ab8d81\n
3741,Improve performance when getting styled string.\n\nThe style used in the composing text for input methods\ntakes a long time to create. This is experienced as a\nlag when composing the first word.\n\nThe bottleneck lies in the 10 calls to\nnativeIndexOfString which does a linear search through\nthousands of strings.\n\nChange-Id: I3184b2be3673d384cca19e9a70ad94b4d3085576\n
3742,Clear binding when the current input method is dead.\n\nChange-Id: I15010787ada1600b9e78d33b0be73a8c8344dc5e\n
3743,The Lastest version is 2.2.1\n
3744,Changed dexpreopt/Config.mk to use new (correct) path.\n
3745,Initial wack at getting escalating volume alarms.\n
3746,fix out-of-tree module build\n\nNow you can build correctly with:\nmake KERNEL\u003d/path/to/kernel\n
3747,Store the event arguments an array of Integer and String as an\nIntent extra with no conversion to another type.  It contains Integer\nand String so it can be serialized with no risk of throwing a runtime\nexception.\n\nChange-Id: Iad71e78b1c72df795c83f831d1ff05290b5a1288\n
3748,Store the event arguments an array of Integer and String as an Intent\nextra with no conversion to another type.  It contains Integer and String so\nit can be serialized with no risk of throwing a runtime exception.\n\nChange-Id: I9e308ead80fb716503016e59442fb73a6d36d5c6\n
3749,fix for 2 build errors:\n\nexternal/skia/src/images/SkFlipPixelRef.cpp:77:8: error: ‘SkPixelRef::Registrar::Registrar’ names the constructor not the type\nexternal/skia/src/images/SkImageRef_GlobalPool.cpp:53:8: error: ‘SkPixelRef::Registrar::Registrar’ names the constructor not the type\n\nChange-Id: Id6e4bd7d3b52ccde46348c6985b7ad97089bc5fe\n
3750,Allow safe deletion during iteration of an ARefSet.\n\n+ make AREFSET_FOREACH take the name of an existing type variable\n  which avoids an annoying type-cast in each statement.\n\nChange-Id: Icf9d886601a9876fa29c15eb0e60a9bf6c8ec163\n
3751,Fix generic looper implementation\n\n+ allow looper_run() to return a value that indicates why\n  it exited.\n\n+ add looper_runWithDeadline() and looper_runWithTimeout()\n  in the case where you want to run only for a limited time.\n\n  looper_runWithTimeout(looper0) can be used to poll the\n  event state and return asap after firing all the callbacks.\n\n+ fix iolooper_modify()\n\nChange-Id: Iba3b0385a7fd8d90f4f3334ebf313e79267f7b3d\n
3752,Introduce asynchronous operation helpers.\n\n\u003candroid/async-utils.h\u003e contains generic helpers to read write\nand connect to sockets.\n\n\u003candroid/async-console.h\u003e contains a helper class to connect\nto Android console port asynchronously.\n\nChange-Id: I5d0a49a770ad974c5d4382438d75e9eb624368d1\n
3753,vold: set state back to idle on formatting error\n\nOn formatting error due to some reasons the state is left at\nFormatting therefore the user is unable to mount the sdcard\nagain. The patch sets the state to Idle no matter formatting\nerror or not.\n\nChange-Id: I62c78eb8299cc397ee5cc442890f8b3dbf09425c\n
3754,Update of DRM Framework.\n\n-Access permission handling\n  Introduce an internal function which allows the desired process to\n  access decryption flow. This new function is just for reference and\n  each OEM manufacturer should implement/replace with their solutions.\n-New API getMetadata()\n  This API is for retrieving media metadata from container-based DRM\n  such as OMA forward-lock content. This API asks DRM agent to retrieve\n  media metadata hiddein inside of DRM special container.\n-New API acquireRights()\n  This API wraps acquireDrmInfo() and processDrmInfo().\n  If DRM agent has valid implementation of both APIs\n  Application can acquire DrmRights only by calling this API.\n-Bug fix in event loop of OnInfoListener.\n  Separate OnInfo event loop from mail thread loop so as to avoid\n  the issue that message is not dispatched when mail thread is busy.\n\nChanges are made by SEMC and Sony.\n\nChange-Id: I04ee3e0988152a71e221f2256d83253749a29da0\n
3755,[ARM] tegra: Centralize macros to define debug uart base\n\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3756,Debug database locks from the main thread\n\nAdded debug functionality for printing stack traces when locking the\ndatabase from the main thread. This is very useful for detecting\npotential ANR problems and increasing UI reponsiveness.\n\nChange-Id: I88d63de43299b98fdffe37ad8cd7ca054406a820\n
3757,[ARM] tegra: suspend: save debug uart state\n\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3758,1. Added files for adb to be compilable updated makefile.\n   usb_freebsd.c is more stub than full-working module.\n2. get_my_path() receives two parameters now some changes\n   to be more correct with size of buffer\n
3759,Updated comment about /bin/bash vs. /usr/local/bin/bash issue\n
3760,"Fix typo. It\u0027s \picasa\"" not \""picassa\"".\n"""
3761,Make the boot animation center aligned.\n
3762,Fix build break\n\nChange-Id: I5b7e0c0b09e97cbdc80636c4a55177a82ac5936b\n
3763,[ARM] tegra: audio_i2s_audio: clean up \u0026 support for recording audio\n\n-- add audio_in_stream (identical to audio_out_stream may merge them later)\n-- add support for DMA and PIO recording\n-- add ioctls for /dev/audio\u003cn\u003e_in to start and stop recording\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3764,"Add parser for \host:port\"" address\n\nChange-Id: Ie53f9071c0a38d9ff5f333ffcdb797b8aba43771\n"""
3765,i2c: tegra: Add reset in init back\n\nThe tegra i2c controller requires a reset after an error.  Put the\nreset back in the init function.\n\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3766,ADT tools location: traceview is a .bat\n\nThis prevents adb from starting under windows since\nadt is trying to verify the presence of traceview.exe\nwhen it\u0027s actually traceview.bat.\n\nChange-Id: I259d90adb17b0b91beb114319cf88392812fc264\n
3767,video: tegra: checkpatch changes\n\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
3768,video: tegra: add init/suspend/resume hooks to outputs\n\nAllows board specific code to handle panel init.\n\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
3769,Make AaptGroupEntry::getMncName accept mnc00\n\nMNC 00 is a valid network code and is used by\nsome operators see http://en.wikipedia.org/wiki/Mobile_Network_Code.\n\nRemove the test that checks if atoi returns zero.\nThe string is validated to contain only numbers\nalready.\n\nAlso discussed here:\nhttps://code.google.com/p/android/issues/detail?id\u003d3657\n\nChange-Id: I3220d7980abe4067c9e7aa4cbc10b5fd0b8c9ea7\n
3770,i2c: tegra: Remove reset during init\n
3771,DropBox: Read until the end of stream has been reached\n\nRead the requested length or until the end of the input stream\nhas actually been reached.\n\nChange-Id: I01bc0b81eca0225209bdd288dde6a778a19d1e2c\n
3772,[ARM] tegra: iomap: Make all debug uarts the same type\n\nNULL is not an integer the rest of the debug uart addresses are.\n\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3773,Check the parent for null in edit_delete\n\nThere is a reproducible error in Contacts when the delete\naction is triggered more than once and thereby crashing the\napp that is fixed by addeding a null check of parent.\n\nAlso preventing the mListener.onDeleted from getting mutiple\ncallbacks.\n\nChange-Id: I6de29ed0139a5fb377a845da3194475b02a86ee3\n
3774,[ARM] tegra: suspend: Restore lcr during suspend fix warnings\n\nThe LCR register must be modified during suspend to read the divider\nvalue.  After getting all the necessary values out of the 8250\ncontroller put LCR register back the way it was.\n\nAlso fixes warnings.\n\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3775,"Customization of SAT application name\n\nOperators want to promote their features through the\nSIM Toolkit application. The naming for \Sim Toolkit\"" is\ntoo generic and operators want to customize the name in\norder to make the apps\u0027s purpose more understandable for\nthe end user.\n\nChange-Id: I469cb4951c8142ab239da30bc30f6f84bc7c894f\n"""
3776,[ARM] tegra: suspend: Convert uart readl/writel to readb/writeb\n\nSigned-off-by: Colin Cross \u003cccross@google.com\u003e\n
3777,ADT: Extract AttrsXmlParser in com.android.ide.common\n\nThis is a pure-refactoring CL that moves AttrsXmlParser\ninto an ide.common.resources.platform package. In a next CL\nthe parser should be cleanup to remove some references to\nexternal classes (e.g. adtplugin is only used for logging so\nit will become an ILog reference.)\n\nThe goal of the resources.platform package is to allow other IDEs\nto parse the manifest schema. An utility class would be provided\nhere that would then be used by AndroidTargetParser. The rest of the\ndata parsing (widgets resources etc.) is a non-goal. Maybe later.\n\nChange-Id: I4fb8eb5d168b75ef8bfab57d0b2883aea85b6167\n
3778,USB: gadget: f_mtp: Support for file transfer length greater than 4 gigabytes\n\nFor backward compatibility with PTP MTP is limited to a 32-bit file size.\nWhen transferring files greater than 4 gig MTP uses 0xFFFFFFFF as the file size\nand the receiver reads until it receives a short packet.\n\nExpanded size of mtp_file_range.length to 64 bits and added support for\nwriting zero length packets.\n\nSigned-off-by: Mike Lockwood \u003clockwood@android.com\u003e\n
3779,video: tegra: include linux/pm.h in mach/tegradc.h\n\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
3780,misc: kernel_debugger: Add help command\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
3781,[ARM] tegra_i2s_audio: add software downsampling for recorded data + fixes\n\ndownsampling:\n-- add ioctl()s to downsample recorded data\n-- supported frequencies are 8kHz 11.025kHz 22.05kHz and 44.1kHz\n-- downsamping to stereo and mono\n-- default is 11.025kHz mono\n\nfixes:\n-- fix crashes from dequeuing DMA requests twice\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3782,ARM: fiq_debugger: Add help command\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
3783,[ARM] tegra: tegra_i2s_audio: combine audio_in_stream and audio_out_stream\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3784,[ARM] tegra: add a header defining tegra 2 wake pads\n\nwakeup from LP0 is latched at the pads rather than in the interrupt\ncontroller; since the pad numbers don\u0027t correspond to any other\nsane numbering or naming system provide a new list of defines\nto make board code easier to read and maintain\n\nChange-Id: Icf85a5826acc567452c0a2475c5a06ed042f66b3\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\n
3785,[ARM] tegra: suspend: rescale power timers for LP0\n\nthe CPU power timers were only rescaled to 32KHz ticks when entering\nLP1; this rescaling is desired for both LP0 and LP1 so move it\nto common code.\n\nOriginal Author: Alex Frid \u003cafrid@nvidia.com\u003e\nSigned-off-by: Gary King \u003cgking@nvidia.com\u003e\nChange-Id: I50ae4be4b538f0c2f4bd4c0c7e566d6773138338\n
3786,Added README file to explain the directory structure.\n
3787,Fix 996: make DNS work.\n\nThis adds APN settings for the generic build.\n
3788,Adds ability to choose JDK version on FreeBSD via COMMON_JAVAC_VERSION variable.\n\n1. added fallback to JDK 1.5 when building sdk make target.\n2. updated find-jdk-tools-jar.sh to be more solid script\n   added ability to find tools.jar for exact JDK version\n   on FreeBSD\n3. updated droiddoc.mk to specify JDK version before\n   executing of droiddoc\n
3789,A fairly obvious ifdef\u0027d syntax error: missing closing brace.\n
3790,On AMD64 Debian Etch lib32readline5 does not cross-reference libncurses.\n\nhost Executable: sqlite3 (out/host/linux-x86/obj/EXECUTABLES/sqlite3_intermediates/sqlite3)\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `tgetnum\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `tgoto\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `tgetflag\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `BC\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `tputs\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `PC\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `tgetent\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `UP\u0027\n/usr/lib/gcc/x86_64-linux-gnu/4.1.2/../../../../lib32/libreadline.so: undefined reference to `tgetstr\u0027\ncollect2: ld returned 1 exit status\n
3791,Improved Thai chars detection with masking and minor bug fixes\n
3792,GlobalTime: Compute the Sun\u0027s position when the application is launched.\n\nFix to calculate the sun\u0027s position when the application is started.\nThis ensures that the day and night difference is displayed if the\napplication is started within a minute after the system has been up.\n\nChange-Id: I5f7ec1b1c34cbe629e792aec5c232b37981d2eb6\n
3793,Update android/utils/ with misc. new features.\n\nThis introduces a few new features to android/utils/ that will\nbe used in later patches.\n\n+ \u003candroid/utils/assert.h\u003e to handle assertions\n+ \u003candroid/utils/vector.h\u003e to handle dynamic arrays\n+ \u003candroid/utils/reflist.h\u003e slightly updated (more docs)\n+ \u003candroid/utils/refset.h\u003e implements a set of pointers\n\nChange-Id: Iebc14cfefd1c0e8aaecda9958a980d40f0be610a\n
3794,[ARM] tegra: tegra_i2s_audio: remove debugfs add sysfs interface\n\n-- Removed debugfs interface for toggling DMA\n-- Added it under sysfs\n-- Also added attributes for settings the attention levels of the i2s fifos\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3795,"Implementation of event loop abstraction.\n\nThis patch adds \android/looper.h\"" which provides an\n\nabstraction for event loops:\n - android/looper-qemu.c implements it on top of the QEMU main event loop.\n - android/looper-generic.c implements it on top of an IoLooper object.\n\nThe main idea is to move the UI-related code to use the abstraction\nto handle timers and asynchronous (network) i/o.\n\nNOTE: Code compiles but has not been heavily tested.\n\nChange-Id: Ib6820c1b9a9950dc22449a332bc1b066a07af203\n"""
3796,frameworks/base: Swap width and height of temporary buffer only with\norientation change\n\nCurrent code swaps the width and height by assuming that aspect\nratio of the buffer width and height will be same as that of the\nlayout clip width and height. That is not always true.\nChange the check to orientation change.\n\nChange-Id: Ie387f3a7369025427484e4173cbde7a08df2b9d7\n
3797,video: tegra: add skeleton host bus support\n\nThe host (or host1x) bus sits between the cpu core and the 3d 2d camera\ndisplay and mpeg encoder functions.  It contains provides DMA channels\nhardware mutexes and synchronization points.\n\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
3798,frameworks/base/opengl: Add NULL check\n\nCheck for the validity of the attrs_list in eglChooseConfig before using\nit. This avoids a crash during tests in which the attributes are NULL.\n\nChange-Id: I1c0a46b505ae919e2454cfdce32f8dfc21ead247\n
3799,video: tegra: add host bus support to display controller\n\nSigned-off-by: Erik Gilling \u003ckonkers@android.com\u003e\n
3800,Fix Dpi2 Test Cases Makefile\n\nIt was being put into /system/apps rather than /data/apps\nlike the other test cases.\n\nChange-Id: Iab279e3bd1bf63d2ac4ef87d8b81b77a12af9443\n
3801,packages/apps: Hide the wallpaper when the allapps view is displayed\n\nThe Wallaper consumes CPU even when the all apps view is in focus.\nHide wallpaper when the all apps view is displayed.\nThis improves performance.\n\nChange-Id: I3d4cf99a0e1272cb15a0f32012473258a972cba2\n
3802,ADT/GLE: Platform selection when rendering layouts.\n
3803,[ARM] tegra: tegra_i2s_audio: configure in/out buffer sizes from user space\n\n-- Add ioctls for configuring buffer threshold and DMA-transaction sizes from\n   user space.\n-- Buffer sizes are provided in orders of magnitude.\n-- Allocate max-sized buffers during probe and allow the user to resize them\n   only within the original allocation to avoid the risk from kmalloc failing\n   due to kernel-heap fragmentation and also to avoid race conditions on DMA\n   shut-down.\n-- In tegra_audio_write() moved the call to start_playback_if_necessary()\n   immediately after writing to the fifo.  Otherwise when the fifo size is\n   smaller than what the user is trying to write the user will block before\n   playback is started.\n-- Silenced printk spew on spinning on i2s registers after transactions are\n   completed.\n-- Cleaned up a 80-col style violation in downsample()\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3804,ADT/GLE: Platform selection when rendering layouts.\n\nChange-Id: Iabbd49cdd52419b947b83fb84f9fb3a5d4576471\n
3805,net: wireless: bcm4329: Force scan when driver is loaded\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
3806,[ARM] tegra: tegra_i2s_audio: clean up handling of state\n\n-- Use consistently the various state flags:\n   -- active is set only when there is a read or write in flight\n   -- recording_canncelled is set only when recording is stopped via the ioctl()\n   -- dma_has_it is used to determine whether DMA is already in flight; do not\n      use the state of the fifos for this (e.g. if the TX fifo is empty do not\n      assume that playback is stopped)\n   -- added a stop_completion (implemented for readers only) so that readers\n      closing a stream can wait until DMA or PIO transactions are stopped\n-- Split /dev/audio0_{inout} into /dev/audio0_{inin_ctloutout_ctl} where the\n   _ctl versions have the ioctl()s\n-- Introduced an error count per audio_stream; error count is reset on open can\n   be read back \u0026 reset through an ioctl\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3807,frameworks/base: Add commands to change visibility of wallpaper\n\nIn the current architecture the wallpaper remains alive even when its not\nvisible. Provide commands to change visibility of wallpaper. This change\nimproves performance.\n\nChange-Id: Ia9bc56e24f4b3379a2ad0ea304bb687775cc16b5\n
3808,vold: fix an offset one bug that makes partition 4 unusable\n\nChange-Id: Ic8e18e6191ad7ee33162e36060b57a6802cf0883\n
3809,[ARM] tegra: tegra_i2s_audio: allow preloading of the tx fifo with data\n\nAdd an ioctl to allow the TX fifo to be loaded with data before playback\nstarts.  Playback can then be started by calling write() on the FIFO even\nwith a length of 0.  This will cause the pending data to be played out.\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3810,GlobalTime: Perform a null check on the gtView object on resume\n\nCreate a new gtView object if the object is null when resuming the app.\nThis fixes the null pointer exception encountered when resuming the app\nafter receiving an MT call.\n\nChange-Id: I33c8aadba81619d10a55c8ae3ea3870502cfd6ea\n
3811,USB: gadget: f_mtp: Zero length packet fixes\n\nSend zero length packets at end of transfers that are a multiple of the\nbulk max packet size as required by MTP.\n\nSigned-off-by: Mike Lockwood \u003clockwood@android.com\u003e\n
3812,[ARM] tegra: tegra_i2s_audio: do not reset the i2s fifo unnecessarily\n\nThis patch removes redundant i2s fifo resets which also cause blips on playback.\nIt also moves the fifo attention levels to struct audio_stream.\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3813,Telephony: Add support to send screen status to Stk App\n\nScreen idle intent is sent from the ActivityManagerService\nto Apps/Stk when an activity is finished or moved to back.\nScreen busy intent is sent when an activity is started.\n\nChange-Id: Ibdb4900717e3e8d909fbbc7958c577712ea73e58\n
3814,Added changes to support Idle screen availability\n\nAdded changes to support Idle screen for proactive commands\nsuch as DISPLAY_TEXT and IDLEMODE_TEXT\n\nDepends on changes:\nIbdb49\n\nChange-Id: I7351bb15e762754e6ac9b9fef57728dd114ddb7d\n
3815,Fixes for the location manager cts tests\n\nIf the gps feature isn\u0027t declared on the system it should not be required to return a gps provider\n\nChange-Id: I1eda27e133d78a384f77b7b2bf09863631479313\n
3816,Fix various warnings\n\nI ran the latest version of findbugs on our codebase and fixed some\n(not all!) of the warnings.\n\nI also ran with Eclipse 3.7 RC3 and updated our compiler warning\nsettings for the new warnings that are available.\n\nI also fixed some DOS line endings in some files (formatted with CRLF\ninstead of LF).\n\nChange-Id: I9a9d34a9b60f2cb609245793815d96a4587007b0\n
3817,"First cut of NDK \stack\"" utility\n\nThis utility is intended to parse crash dump file printing references to the\ncrash frames in \u003cfile\u003e:\u003cline\u003e format.\n\nAll source files under elff folder are snatched \""as is\"" from the elff library\nunder external/qemu/elff so they don\u0027t really require any review.\n\nChange-Id: Id4ca36e8f2798247482e1425ef3ec7cd0693067e\n"""
3818,ARM: omap2: Add card_detect import\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
3819,Add processed kernel header for msm_snd driver.\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3820,adb: Add INQ Mobile USB id\n\nChange-Id: I7cd7b3860441f8e9dd13d3a4b13d8eb53e6fedbc\nSigned-off-by: andrea \u003candrea@inqmobile.com\u003e\n
3821,telephony: PIN/PUK MMI code support for CDMA\n\nAdded MMI support for change PIN1/PIN2 and unlocking PUK2.\n\nChange-Id: If579a88643737df39588ece5a5304550282ea797\n
3822,Make crespo4g report Sprint as operator name\n\nChange-Id: Ib4f39c303bed6e20a5b6092d73ef00adc5d398b8\n
3823,Fix issues related to uart-omap-serial driver\n\nThis patch fixes issues related to uart register configuration and uses\nTRM programming model to avoid any corner issues that might affect uart\nand adapts serial PM framework support for DMA mode for errata 2.15.\nEnables support for CTS on wakeup. Also adds proper alignment for\ncoding standard.\n\nSigned-off-by: Ulrik Bech Hald \u003cubh@ti.com\u003e\nAuthor: Govindraj Raja \u003cgovindraj.raja@ti.com\u003e\n
3824,SuperH: add configuration to libffi\n\nChange-Id: I863cc294cccebf047ff32e1b42b887923a170094\n
3825,[ARM] omap: resource: Make resource_refresh() thread safe.\n\nNeed to lock the res_mutex when traversing the res_list.\n\nSigned-off-by: Mike Chan \u003cmike@android.com\u003e\n
3826,mmc: host: sdhci: Support runtime enable/disable of clock\n\nCurrently the SD card clock is running any time the AP is not in\nLP0. This patch allows the clock to only be enabled when the card\nis being accessed.\n\nBased on an nVidia patch:\nhttp://nv-tegra.nvidia.com/gitweb/?p\u003dlinux-2.6.git;a\u003dcommit;h\u003d8c0f23b7e65ebdb6d1c160517e9ba509b16ec83f\n\nConflicts:\n\n\tdrivers/mmc/host/sdhci.c\n\nChange-Id: Id188a783ca9ce7046bf2ca526cafcd91a6fab507\nSigned-off-by: Greg Meiste \u003cw30289@motorola.com\u003e\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
3827,Copy once-created R.java into library projects\n\nThis change adds functionality in Aapt to allow specification of\nlibrary projects to copy the generated R.java file into rather\nthan regenerating the file for each library project.\n\nChange-Id: I05939d1dc875bd875be9298ca47cb639235070c6\n
3828,Adding support to ADT and ant for smart R.java gen\n\nThis change lets ADT and ant make use of the new\n--extra-packages flag in aapt to allow for all the R.java\nfiles to be generated using only one call rather than one call\nper library.\n\nChange-Id: Ibc060b1218010cfbae108f4f1aba2c25fe69a964\n
3829,Renamed some resource enum/qualifiers to be more consistent with the platform.\n\nChange-Id: I9c5ea5183e115582e0b805ca3ec75aad70e4a65c\n
3830,[ARM] tegra: sdhci: Add new flag for runtime clock disable\n\nThe rt_disable flag can be used to disable the sdhci clock when\nnot needed.\n\nChange-Id: I5b3d593f046627ce17405133c744e409dba7e241\nSigned-off-by: Greg Meiste \u003cw30289@motorola.com\u003e\n
3831,mmc: host: sdhci: tegra: Support runtime enable/disable of clock\n\nCurrently the SD card clock is running any time the AP is not in\nLP0. This patch allows the clock to only be enabled when the card\nis being accessed.\n\nBased on an nVidia patch:\nhttp://nv-tegra.nvidia.com/gitweb/?p\u003dlinux-2.6.git;a\u003dcommit;h\u003d8c0f23b7e65ebdb6d1c160517e9ba509b16ec83f\n\nChange-Id: I1b611622ef0545a3309214e94bbc76481aa3a721\nSigned-off-by: Greg Meiste \u003cw30289@motorola.com\u003e\n\nConflicts:\n\n\tdrivers/mmc/host/sdhci-tegra.c\n\nSigned-off-by: Greg Meiste \u003cw30289@motorola.com\u003e\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
3832,mmc: omap_hsmmc: Add Add explicit card-detect processing\n\nSigned-off-by: Dmitry Shmidt \u003cdimitrysh@google.com\u003e\n
3833,Fix cmdline parsing and some comments.\n\nChange-Id: I51efd2049d9a12a1ce009bef86f5f1da574d2f79\n
3834,Add support for the new width/height resource qualifiers.\n\nAlso add Television to the dock mode (which is really UI Mode).\n\nChange-Id: I97e3fbea1806a32d8267d8e462211add2b122ed0\n
3835,mmc: host: sdhci: Fix for 64 bit quirks\n\nNeed to update the quirk defines for 64 bit support.  Currently\nbits 32-63 are all being inadvertently set.  Updating these\ndefines allows the quirks bitmask to be set properly.\n\nConflicts:\n\n\tdrivers/mmc/host/sdhci.h\n\nChange-Id: Id178470642484f1f41f0fd7f7fb18c64667e1bbd\nSigned-off-by: Greg Meiste \u003cw30289@motorola.com\u003e\nSigned-off-by: Todd Poynor \u003ctoddpoynor@google.com\u003e\n
3836,omap3isp: Fix resizer crop offset.\n\nThe wrong width was being used to calculate the start of the crop rectangle.\nThe crop width was being used to calc the offset into the image\ninstead of the original image width.\n\nSince the correct offset is already calculated and stored in the\nglobal:\n  isp_obj.tmp_buf_offset\nthen use this value rather than calculate it again.\n\nThe wrong width was causing digital zoom functionality to fail.\n\nSigned-off-by: Dominic Curran \u003cdcurran@ti.com\u003e\n
3837,Set WIFI_FIRMWARE_LOADER for dream-open otherwise wlan_loader is never\nexecuted.\n
3838,Fix typo in adb commandline help\n\nAndroid developers are not expected to have PDP-11s.\n
3839,Added new HOST_OS type \u003d freebsd some related changes.\n
3840,omap3isp: Honor ref_count in resume path\n\nFixed bug where we were reenabling clocks in resume function even though our reference count was zero.\n\nSigned-off-by: Dominic Curran \u003cdcurran@ti.com\u003e\n
3841,Process files on the fly for FreeBSD compatibility\n\nAdded apply-freebsd-patches and apply-platform-patches() definition\nin definitions.mk to process paths to interpretators at file headers\nfrom /bin/bash to /usr/local/bin/bash. That allows keep source tree\nunchanged and shared with main repositary.\n
3842,Update proprietary files for Dream to include audio support.\n\nSigned-off-by: Iliyan Malchev \u003cmalchev@google.com\u003e\n
3843,ImageButton example doesn\u0027t work. Default state should be at the last.\nsee res/res/drawable/button_inset.xml\n
3844,install vold.conf for emulator again\n
3845,Add missing const qualifier to table declarations in headers\n
3846,find-jdk-tools-jar.sh now can guess path to tools.jar on FreeBSD\n
3847,Update Triton2 scripts\n\nUpdated the sleep/wakeup sequence as recommended by David Derrick.\nUsed broadcast command and configured the TYPE register REMAP register.\nBased on original patch by Lesly A M.\n\nSigned-off-by: Mike Turquette \u003cmturquette@ti.com\u003e\nSigned-off-by: Lesly A M \u003cx0080970@ti.com\u003e\n
3848,Remove extern from table definitions\n\nThis fixes warnings when compiling as C.\n\nLocal prototype declarations are added where no suitable ones are\navailable in headers.\n
3849,Set SHELL to /usr/local/bin/bash on FreeBSD\n\nChange-Id: I638baad2bc05edf6cc7f03cf9430b322f0fb98ad\n
3850,Add includes for prototype declarations of tables\n
3851,Remove explicit requirement on /bin/bash\n\n/bin/bash doesn\u0027t exist in FreeBSD. Instead this will use\nthe right bash shell from build/core/main.mk\n
3852,SDP file RTSP streaming support - Android\n
3853,Get rid of conditionals in 2way compilation files (local.mk)\n
3854,Partially reverting removing unncessary code from rtsp_parcom protocol\n
3855,Remove unncessary code from rtsp_parcom protocol\n
3856,Support for WVC1 in OMX decode and codec config parser utility\n
3857,Build and return code changes to support new CPM plugin\n
3858,Additional follow-on for rtsp_parcom protocol cleanup\n
3859,"Fix for a possible crash in OsclTimer that could be caused by a \divide-by-zero\""\n"""
3860,CORE_8.102.1.1 version updates for sdkinfo header files and playerdriver.  Documentation updates.\n
3861,Modifications in omx decoder testapp for parameter negotiation.\n
3862,RIO-8219: Data type inconsistency in code of OMX test app\n
3863,Need the ability to disable CPM in source nodes\n
3864,Nodes getting scheduled extra number of times\n
3865,Removing macros from rtsp parcom source files\n
3866,Fix in the author engine to set/reset/resume the clock in the various internal states\n
3867,Use a circular buffer in VelocityTracker\n\nOptimizes the frequently called addPoint() method while keeping the\nsame velocity computation.\n\nThx Cyril Mottier for help and tests.\n
3868,OMX support for VC-1 simple main and advanced profiles\n
3869,Update sdkinfo header files and playerdriver with CORE_7.505.1.1 version\n
3870,Additional follow-on to eliminate memcopies of output buffers in omx components\n
3871,Disable build of ImProvider as it relies on proprietary files\n
3872,2way console app and GUI app fixes\n
3873,2way engine - Memory leak fix\n
3874,Additional follow-on for rtsp_parcom protocol cleanup\n
