,Comment
739,um fix global timer issu when use confignohznncommit upstreamnnthi fix a issu which wa introduc by uml track and makenup lost ticksnntimevalton return long long and not int due to that timerndid not work properlt and caus timer freezesnnnedoffbi richard weinberg pekka enberg jeff dike andrew morton linu torvald greg kroahhartman 
740,um remov pages align in linker script caus kernel segfaultnncommit upstreamnnth linker script cleanup that I did in commit um clean upnlink script use standard macro accident introduc annalignpages when convert to use inittextsect richardnweinberg report that thi caus the kernel to segfault not certain whi thi extra align is a problem but it seem likelynit is becaus previouslynnbegin stext text stextnnand with the extra alignpages stext becom differ from thenrest So there is like a bug here where someth is assum thatnstext is the same as one of those other symbol but revert thenaccident chang fix the regress so it seem worth commit thatnnownnnedoffbi tim abbott richard weinberg jeff dike by antoin martin andrew morton linu torvald greg kroahhartman 
741,hpet unmap unus IO spacenncommit upstreamnnwhen the ializ code in hpet find a memori resourc and doe notnfind an irq it doe not unmap the memori resourc previous mappednnther are buggi bios which report resourc exactli like thi and whatni wors the memori region base point to normal ram thi normal wouldnnot matter sinc the space is not touch but when pat is turn onnioremap caus the page to be uncach and set thi bit in when the page is about to be use by the alloc it is reportednasnnbug bad page state in process mappingnul flag comm not taint tracen thi particular hpet return as memori region base but it is not innreserv rang report by the bio excerptn usablen there is no irq resourc report by hpet method On the othernhand the intel hpet spec say n report of memori consum by thi timer blockn memori rang consumedn option onli use if bio alloc interrupt irq for case where timer block is configur to consum andnlegaci rtc hardwar still exist the devic objectsnassoci with rtc devic should not report asnconsum resourcesnnso in theori we should check whether if it is the case and use thoseninterrupt insteadnnanyway the address report by the bio here is bogu so nonpresencenof irq mean the option part in point I got no repli previous fix thi by simpli unmap the spacenwhen irq is not found and memori region wa map previous It wouldnb probabl more safe to walk the resourc again and unmap appropriatelyndepend on type but as we now use onli ioremap for both memorynresourc type it is not necessarili need right nownnaddress olaf here jiri slabi clemen ladisch andrew morton linu torvald greg kroahhartman 
742,hpet fix unwant interrupt due to stale irq statu bitnncommit upstreamnnjaswind singh rajput By execut for poll I request for iter but it seem iter for onli as first expir time is alway veri hpetexampl poll devhpet hpet execut hpetpol infohiflag hpetpol expir time hpetpol revent hpetpol data hpetpol expir time hpetpol revent hpetpol data hpetpol expir time hpetpol revent hpetpol data the hpet interrupt enabl bit disabl interrupt generationnbut doe not disabl the timer so the interrupt statu bit will stillnb set when the timer elaps If anoth interrupt arriv beforenth timer ha been correctli program due to some other devic onnth same interrupt line or configdebugshirq thi result in annextra unwant interrupt event becaus the statu bit is like to benset from compar match that happen befor the devic wa openednntherefor we have to ensur that the interrupt statu bit is andnstay clear until we actual program the timernnnedoffbi clemen ladisch jaswind singh rajput ingo molnar thoma gleixner john stultz bob picco andrew morton linu torvald greg kroahhartman 
743,ad configur for freebsd ad cast to in skinargbh to avoid error duringn compil incompat type ad includ thi allow correct defion ofn namespac and make like type visibl in chang makefileandroid in order to build with oss on freebsdn without prebuilt version of qemuaudio which is now absentn 
744,percpu fix listhead bug in percpucounternncommit upstreamnnwarn at name corrupt should be prev but wa link in aoe iptmasquerad iptablenat nfnat sunrpc bridg garp stp llc cpufreqondemand acpicpufreq freqtabl dmroundrobin dmmultipath kvmintel kvm uinput lpfc scsitransportfc igb ioatdma scsitgt dca itcowdt itcovendorsupport pcspkr shpchp megaraidsa last unload aoenpid comm taint G W becaus there is no ializ code for a listhead contain innth struct backingdevinfo under confighotplugcpu and the bug come upnwhen block devic driver call blkallocqueu are use In case ofnm I got them by use aoennnedoffbi masanori itoh tejun heo andrew morton linu torvald greg kroahhartman 
745,remov ldl when compil for freesbdn 
746,olpcbatteri fix endian neutral breakag for valuesnncommit upstreamnnwhen the driver wa updat to be endian neutral sign part of the valu wa lost thi is becaus an unsign valu thi patch cast the valu back to a prior to the the implicit cast up to an intnnnedoffbi richard A smith daniel drake anton vorontsov greg kroahhartman 
747,ad note about purpos of first line commentingn 
748,ad wifi report test and wallpap report testn test for the correct report nonreport of wifi and live wallpap featuresnid 
749,add support for async framebuff display updatesnnad a thread to run synchron with FB and mdp driver for framebufferndisplay updat main thread run synchron with upstream callersnof fbpost such as surfacefling thi allow swapinterv to be easilynsupport in fbpost It also decoupl compost from display allowingnbett perform especi in mddi mode and with swapinterv set to 
750,set the correct framebuff size in the gralloc handlennwhen the framebuff height is not align to the framebuff sizeni not the same as the size pass in the grallocallocframebuffernfunct set the correct size of the framebuff in the gralloc handlenid 
751,fix miss goto label in androidbatnid 
752,chang hosttestlib to use ddmprebuiltnid 
753,test uploadnid 
754,chang main class name in manifest file to correct onen 
755,remov monkeyrunn so it can move to the sdk projectnid 
756,arm msm camera len correcionsnnnedoffbi iliyan malchev 
757,arm msm kgsl remov the need to poll for timestamp completionnnus condit RB interrupt gener when we need to wait onntimestamp to avoid poll in userspacenid dima zavin 
758,configur as wakeupnnnedoffbi mike chan 
759,arm msm camera len correcionsnnnedoffbi iliyan malchev 
760,arm shole board file support for rndi usb ethernetnnnedoffbi mike lockwood 
761,arm shole enabl netfilt option need for iptabl in defconfignnnedoffbi mike lockwood 
762,enhanc apidemo app dialog alertdialog with multiplechoic back by cursornnad an exampl for use alertdialog in multichoic mode back up by cursor thi exampl can be use to test the follow bug a toast to display readonli statu of cursor so data will not be updatedntremov empti code block which did nothingn 
763,revert usb gadget android specifi usbclasscomm in devic descriptor if use rndisnnthi revert commit thi commit got merg in twice which revert part of with the changenusb gadget android fix special case for rndi ethernet functionnnnedoffbi mike lockwood 
764,ad file for adb to be compil updat makefilenusbfreebsdc is more stub than fullwork modulen 
765,updat makefil for correct build on freebsdn 
766,arm shole enabl netfilt option need for iptabl in defconfignnnedoffbi mike lockwood 
767,remov link with libdl on freebsd caus need function are in libcn 
768,net wireless fix packet unicast filternnnedoffbi dmitri shmidt 
769,make ct use the ddmlibprebuiltnid 
770,fix changestxtnnsom chang make it to the releasenid 
771,packag ddmlibprebuilt with ctsnnthi ensur that ct is use a compat ddmlibnid 
772,make frameworkcorehosttest use ddmlibprebuiltnid 
773,accord to open manpag you should add mode when you use ocreat flagnid 
774,incorpor follow review commentn chang tab indent to spacesn remov trail spacesn add copyright the android open sourc projectnid 
775,remov the tab after aiddrmnid 
776,arm tegra dma remov static qualifi from local variablesnnth dma request structur were incorrectli defin as static variabl innth interrupt callback function which caus them to be smpunsafennorigin fix by laxman dewangan ldewangannvidiacomnid gari king 
777,video omapfb add hack to make pandisplay updat the screennnandroid use thi to draw to the screen from recoverynid rebecca schultz zavin 
778,arm msm clock print stillrun clock befor powercollaps suspendnnnedoffbi iliyan malchev 
779,arm mahimahidefconfig set configsmdoffsettcxostatnnnedoffbi iliyan malchev 
780,add thai font qwerti handler for thai and also languag picker dialogn 
781,hack temporarili panic on dma error so we can get some debug infonid rebecca schultz zavin 
782,omap fix race condit in omap dma drivernnth bug could caus irq enabl bit of one dma channel isnclearedset unexpectedli when or more driver are callingnomaprequestdmaomapfreedma simultaneouslynnnedoffbi fei yang tao Hu toni lindgren 
783,arm msm smddebug add smem debug info for tcxo and network relat statisticsnn sysmodulesmdparametersprintstatsonsuspend enabl print tcxon stat on everi suspendresum and screen onoff eventn syskerneldebugsmdstat print out these stat as wellnnnedoffbi iliyan malchev 
784,arm shole board file support for rndi usb ethernetnnnedoffbi mike lockwood 
785,extend android with cdma mobil technolog supportnnthi is the first contribut of a project that ha the goal to extend thenandroid telephoni layer with cdma mobil technolog supportnth current releas of android support gsmwcdma as mobil commun standardsnour contribut will contain chang in the phone relat applic thenappl framework telephoni packag and in the ril daemon librari spacenth implement of the cdma support requir architectur chang in thentelephoni packag and extens of the ril interfacenth applic interfac sdk interfac will be extend to providencdma specif featuresinform to the phone relat applic and other applicationsnwher ever possibl the actual use radio technolog is transpar for thenappl use mobil connectionsnneach increment of the contribut will provid a pretest set of use case implementationsnth final contribut will support cdma function for android phone supportingneith cdma mobil technolog onli or a world mode includ gsmwcdma and cdmanth follow cdma technolog are consid evdonnthi contribut implement the follow use casesnuc startupphonenuc initi phonenuc access simruimnuc network indicationsnnwith these use case the phone willn start upn access the cdma subscript and other inform from memori of from the card either sim usim or ruimn regist to the networkn provid registr statu to the applic for displayingnnapprov By aravind mahishi aravindmahishitelecacomn wolfgang schmidt wolfgangschmidttelecacomn 
786,media add support for flac musicnnthi patch add support for the flac music file format It is base on and by kenni root but is updat to use stagefright for thenmetadata gather and thu doe not reli on chang opencorennth same decod caveat appli no support at thi time and it stillnr on bring in libflac to the extern setnnan exampl way to do thi local repolocalmanifestxmlnid 
787,sanitis bluetooth file name hint when receiv a contactnnif a contact name is enter with ani of the follow charactersnn transfer of that contact fail thi is due to the underlyingnfilesystem fat not be abl to handl these charact in anfil name thi fix correct that situat by replac anynwhitespac charact with a space and illeg fat filesystemncharact with underscorenid 
788,unregist callback from binder when vibrat is removednnwhen creat new vibrat pattern a callback is registerednin case bind to caller goe away by linktodeathnne to unregist thi callback when we throw away the vibrationnid 
789,adt remov or disabl debug printfsnid 
790,includ debugg connect statu in error entrynninclud the debugg connect statu when ad error entrynto dropbox if debugg is connect debugg connectednnthi can be use to sort out crash com from developersnv from regular usagenid 
791,add drm and drmio servicen add datadrm directori for store drm relat datanid 
792,initi contribut from soni corporationnn add drm framework to support drm content playbackn togeth with stagefrightnn drm framework code is addedn includedrmn drmn apicurrentxml is updat to includ drm framework java apisn cmdsservicemanagerservicemanagerc is modifiedn to add drmmanag and drmioservicenid 
793,ad mpga as valid mediafil extensionnnad mpga as a valid media file extens it will be treat as 
794,ublock userspac block devic drivernnublock is a block devic driver that allow userspac process to createnblock devic and respond to read and write request to them It is mostneasili describ as the block devic analogu of fuse which doe the same fornfilesystemsnnnedoffbi thoma tuttl 
795,limit bluetooth devic name to safe length to avoid crashesnnbluetooth devic name can becom too long when unicod charact arenus for devic name the max length is byte but sinc a unicodencharact can be up to byte the safe length is onli 
796,media IR provid a prompt for ircor so it can be disablednid dima zavin 
797,better separ of UI and core sourc for framebuff emulationnn new document under docsdisplaystatetxt to explain happeningnid 
798,support oem unsolicit communicationnnandroid ha support for unsolicit commun but interfac open to java applic thi is a contribut tonandroid open sourc where it allow android java applic to to regist for oem unsolicit communicationnid 
799,hold partial wakelock dure shutdown to avoid enter sleepnnth shutdownthread can get suspend while in progress if thendevic enter sleep by the user press the powerkey or if it isnstart in sleep from the batteryservic upon a dead batterynnotif If the devic is woken up befor the batteri isndrain the shutdownthread will resum and final completenth shutdown but if not the phone will stay in sleep until thenbatteri level is so low that the power is ruthlessli cutnid 
800,refactor to remov multipl inloop castingsnnthi replac chang remov the need to convert for each iterationnof each of availabletetherederror state in updatestatusnbi convert these as soon as possiblennthi fix and the code befor is strang becaus each of availabletetherednerror are defin as type butnintentgetstringarraylistextra return type object dispit it namenbecaus other call to updatest use string it seem best to do thenconvers outsid thi method in the object case and thu avoid thenperiter cast in the object case and the downright wastefulnperiter cast in the string input also remov some unus import and an unus variablenid 
801,appsmus add ondestroy function to releas jni object referencesnn add ondestori function for video browser activ to releasen the resourc which caus memori leaksnid 
802,appsmus add ondestroy function to releas jni object referencesnnadd ondestori function for video browser activ to releasenth resourc which caus memori leaksnid 
803,add drm directori to includ it as part of frameworksnid 
804,updat ddm all and linuxmac to user explicit classpathnnthey were still use the old method of provid a jar foldernthrough javaextdir in which to look for jar filesnnth jar depend is now explicit in the manifest which allowsnu to target ddmlib explicit and not ddmlibprebuiltnid 
805,implement retool the syscal for and to make themnpublicli access and implement the normal preadpwrit innterm of themnid 
806,arm tegra clock disabl clk prevent suspendnid colin cross 
807,arm tegra clock allow clock to prevent suspendnnadd a flag to some clock that will prevent suspend if those clocksnar enablednid colin cross 
808,usb add otg driver for tegra usb phynid gari king 
809,tegra prevent transact after suspendnnth cpufreq driver suspend veri late and may caus an when the clk api call the dvf api which callsnth regul api which call return an error if transact is request after suspend ha been callednid colin cross 
810,arm tegra clock propag error in dvfssetratenid colin cross 
811,support for voicemail in tpudh of smsnnad support for process special messag indicationnfor voic mail in TP user data header for smsnspec refer TS 
812,separ sim state from radio statesnna uicc can have multipl applic usim csim both usim and csim may be readynso indic modem state as simreadyruimreadi will be incorrect radioon is a morenappropri radio state sim statu can be obtain from the rilrequestgetsimstatusnand rilunsolresponsesimstatuschang messagesnnth chang doe the followingnn remov sim state from rilradiostaten add messag to indic voic radio technologynid 
813,support meid start with and and are valid report bodi identifi nownhttpwwwtiaonlineorgstandardsresourcesmeidnid 
814,releas monkeyrunn into open sourcenid 
815,creat altern layout default to no qualifiernnprevi the dialog open with all qualifi set upnwhich would make most user default to make a veri restrictivenlayoutnnnew version is simpler edit the qualifi valu andnlet the user simpli ad the one they wantnid 
816,fix memori leak in set open sourc licens activitynnth settingslicenseact leak memori via the webview whennchang orient or restart the applicationnid 
817,ad state snapshot support for qemudnnwith thi patch both modem and sensor function are correctlynrestor when a state snapshot is load thi wa not the casenprevi becaus commun with either of these servic isndon use the qemud daemon which did not support snapshotsnnth bootproperti and charpip servic have no specif saveloadnfunction yet sinc the framework itself should be reviewednfirst ad support for bootproperti should not be difficultnthough and charpip may not need itnnfor a descript of the highlevel process for save and loadingnconsult section IV state snapshot in docsandroidqemudtxtnid 
818,use the new sdkbuildtoolsatreenna the sdkgit project is branch differ from the restnof the platform import to be abl to control whatngo in the tool folder of the sdk on a perbranch basisnnright now developmentbuildsdkatre control what goe innth tool folder come almost onli from sdkgit which causesnproblem when the developmentgit and sdkgit branch are notnin syncnid 
819,split the tool compon from sdkatreennthi is now in sdkbuildtoolsatreenid 
820,tool specif atre filenid 
821,add in build rule to build guava as a host side librari as well as a devic side librarynid 
822,add in build rule to build as a host side librari as well as a devic side librarynid 
823,ad qemuandroid build target which will build bare uistrip emulatornnalso ha some minor separ changesnid 
824,fix opcod test for sputwidennbug 
825,gethnamaddr make helper function staticnnin order not to conflict with the symbol defin in filenlibcnetbsdgetaddrinfoc thi patch make the internalhelpernfunct staticnid 
826,remov unus import in securitysettingsjavanid 
827,fix opcod test for sputnnbug 
828,ant doc on how to replac proguardnid 
829,refactor to remov multipl inloop castingsnnthi chang remov the need to convert for each iterationnof each of availabletetherederror state in updatestatusnbi convert these as soon as possiblennthi fix and the code befor is strang becaus each of availabletetherednerror are defin as type butnintentgetstringarraylistextra return type object dispit it namenbecaus other call to updatest use string it seem best to do thenconvers outsid thi method in the object case and thu avoid thenperiter cast in the object case and the downright wastefulnperiter cast in the string input also remov some unus import and an unus variablenid 
830,fix opcod test for sputshortnnbug 
831,make the tool work with the new locat of adbnnadb ha been move to the platformtool foldernnthi chang adt ddm hierarchyview which all carenwher adb is to launch itnnalso fix the local sdk parser of the sdk updat to findnth platformtool packagenid 
832,adt fix use constant from swt build server still build use and wenstil support at runtimenid 
833,arm config updat tegradefconfig to enabl regulatorsnid dima zavin 
834,move adb to the platformtoolsnnalso fix the packag of hierarchyview in the sdknid 
835,fix sdk build for eclips testsnnbroken by chang 
836,hide privat symbol use gcc visibl pragmannlibcso should not export all privat symbol to reflect android ndknthi patch attempt to use gcc visibl pragma to hide the privatensymbol in bionic It also let the optim produc better andnsmal codennrefer code size measur for htc passionn$ armeabis outtargetproductpassionsystemliblibcsonnbeforen textt datat bsst dect hextfilenamen textt datat bsst dect hextfilenamen 
837,code cleanupnsom unus import statement local variabl privat member and static constant remov formnclass in comandroidbluetoothpbap packagenid 
838,code cleanupnunus import local variabl and static constan remov fromncomandroidbluetoothopp packagenid 
839,hide the symbol of helper function libcandroidabortnnid libcandroidabort would be static but it could not benbecaus gcc would not allow call a static function from an asmnstat instead use gcc visibl is work aroundnid 
840,fix data corrupt due to structur defion mismatch between kernelnand user spacenid 
841,remov redund defion in ueventdrcnid 
842,remov duplic implement use stdlib version insteadnnorigin there are in and implement in bionic besid the namingnth function is ident thi patch remov the also and are modifi accordinglynid 
843,hide intern symbol bionicbrk use by brk and sbrknnbionicbrk wa share by brk and sbrk which should be implementornspecif and hidden to applic developersnid 
844,add atom optim flagsnnto enabl the optim set targetarchvari 
845,reorder lock acquis vs trynnin two place involv lock reorder the code so that the locknacquisit is perform outsid of the tri block and everythingnels that need to run while the lock is lock within the trynblocknid 
846,expand the devic name pattern to includ cap and as use by some oemsnid 
847,miss an explicit termin befor returnnnif a devic support the video snapshot function the will not releas a camera HW resourcenit caus a cameara openerror for the next test casenid 
848,test for neon with the proper make flagnnget the arm cpu featur from the proper headernnbuild the right list of sourc for each arm variantnid 
849,stk launch browser command send addit inform in termin responsennlaunch browser relat testcas in sec that addit inform be sent in termin responsenid 
850,video tegra remov out of date todonid erik gill 
851,fix issu with qualifi combo box not fill up in devic modenndevic mode is when the qualifi valu must match what a devicenwould report for instanc nodpi should not be selectablenid 
852,DO not merg filesystempermissiontest froyo backportnnbug 
853,arm add gener fiq serial debuggernid iliyan malchev 
854,filesystempermissiontest eclair backportnnbug 
855,telephoni fix for mmi code for call forwardingnnfix for issu the UI regist for call forward whennscsi is dial where SI is the number to which call shouldnb specif sec UE shall determin from the context whethernan entri of a singl activ or registrationnwa intendednnfor exampl a call forward request with a singl nwould be interpret as registr if contain anforwardedto number or an activ if notnid 
856,ublock userspac block devic drivernnublock is a block devic driver that allow userspac process to createnblock devic and respond to read and write request to them It is mostneasili describ as the block devic analogu of fuse which doe the same fornfilesystemsnnnedoffbi thoma tuttl 
857,move adb to the platformtool window sdk partnnthi is the win sdk counterpart to chang 
858,video tegra enabl both display control clock when enabl hdminnth upstream DC need to be clock for access to hdmi to not hard lock thensystem becaus we know if hdmi is conenct to or we neednto enabl both until we set the DC muxnid erik gill 
859,prebuilt version of ddmlibnid 
860,video tegra forc output on hdminnnedoffbi erik gill 
861,fix issu with qualifi combo box not fill up in devic mode DO not mergenndevic mode is when the qualifi valu must match what a devicenwould report for instanc nodpi should not be selectablenncherrypick from master to 
862,handl gcf usat testcas launch browser seq per specif test case seq if thenbrows wa alreadi launch then we need to send appropriatenerror code and addit info in the termin responsenid 
863,video tegra add a novsync modul param to disabl vsyncnid erik gill 
864,add acpi to virtualbox kernelnnnedoffbi daniel fage 
865,handl adb except properlynid 
866,mark ipupvpn as optionalnid 
867,networkso list in the prelink map so disabl prelink herenid 
868,fix code style problem gerrit chang headsetbas to broadcast atxev messag from the headset toninterest observersnn corejavaandroidbluetoothatcommandhandlerjavan corejavaandroidbluetoothbluetoothheadsetjavannfix minor typo in commentsnn corejavaandroidbluetoothbluetoothdevicejavannad broadcast intent action actionheadsetxev thi action isnus to notifi interest observ that the current bluetooth headsetnha sent an command to the phone the argumentsnxyz are sent as an in the extraxeventargsnextra which is also new the broadcast action also includ the object in the extradevic extrann corejavaandroidbluetootheventatcommandhandlerjavannnew file handl the set form of the atxev command thatni by broadcast the actionnbluetoothdeviceactionheadsetxev with extrasnbluetoothdeviceextraxeventarg new andnbluetoothdeviceextradevicenn corejavaandroidbluetoothheadsetbasejavand the headsetbas constructor to accept the context in which itni run AT command handler such as eventatcommandhandlerninvok by the headsetbas may need the context in order to broadcastnev etcnnalso fix a minor typo in a log messagenremov comment about remov the atpars callnregist eventatcommandhandl as respond to the atxev commandnid 
869,arm tegra timer use clocksourc mult and shift for schedclocknnth mult and shift valu for the clocksourc are select to providenmaximum resolut over a second time differ and will wrap toonquickli to use for schedclock just multipli by colin cross 
870,adt properli handl custom classesnnthi make it possibl to or past a customnclass in a project that have the class the pastenoper will succeed and the layout render will providena clear error indic the class is missingnid 
871,ad the delay time of for wait the webview to createnid 
872,fix make acp under cygwin DO not mergenid 
873,fix opcod test for checkcast and fillednewarrayrangennupd test to verifi froyo vm behaviur of throw except at firstnaccessnnbug 
874,arm tegra clock save in suspendnid colin cross 
875,mirror googleintern prelink fix for public accessnid 
876,arm tegra add api to set memori client prioritynid erik gill 
877,Go to problem in sourc from logcat via doubleclicknnth user can choos in the logcat prefer page whatnwil be the default behaviour go to method declarationnor go to error linennther are now avail action in the logcat viewninstead of the uniqu Go to problem which is nowncal Go to problem method declarationnid 
878,ad the delay time of for wait the dialogu to show upnid 
879,ad the delay time of for wait the dialogu to show upnid 
880,guard against npenid 
881,BT not possibl to accept incom obex transfer use keypressesnnit is not possibl to acceptreject an incom obex file transfernus keypress onli touch screen press wa workingnnwith thi fix key press down is not ignor and it is possiblento acceptreject an incom obex file transfer with keypressnnstericsson chang ID christian bejram 
882,fix textviewtesttestsinglelinennbug the same techniqu use to fix testmarque which is to putnth textview into a narrow layout widget so it will wrapnregardless of display sizenid 
883,fix kernel oop if the journal superblock ha a nonzero jerrnonncommit fix an account bug onli to introduc thenposs of a kernel oop if the journal ha a nonzero jerrnonfield indic that the file system had detect a fs inconsistencynaft the journal replay if the journal superblock indic that thenfil system ha an error thi indic is transfer to the filensystem and then is call to write thi to thendisknnbut sinc the percpu counter are now ializ after the journalnreplay the call to will caus a kernel oop sincenit need to use the percpu counter the superblock structurennth fix is to skip set the free block and free inod fieldsnif the percpu counter ha not been setnnthank to ken sumral for report and analyz the root caus ofnthi bugnnaddressesgooglebug theodor 
884,fix adt featuresnid 
885,video tegra add underflow stat to debug outputnid erik gill 
886,explicitli request ipupvpnnid 
887,fix code style problem gerrit chang call to the headsetbas constructor to pass in the currentncontextnid 
888,radioinfo crash if pdpgetapn return nullnnth autom test case found a problem where the pdpgetapnnreturn null and as a consequ crash the radioinfonnthi activ is not acess from a user menu in settingsny have to start it withnadb shell am start a androidintentactionmainn n comandroidsettingsradioinfonid 
889,ad the delay time of for wait the webview to createnid 
890,glibso list in the prelink map so disabl prelink herenid 
891,remov all alarmclock file becaus it is replac by deskclocknid 
892,replac alarmclock with deskclocknid 
893,video tegra set memori prioriti higher on DC nid erik gill 
894,mfd backport chang from few chang were appli to mike driver afternit wa merg backport these into the tegra tree to makenmerg subsequ chang simplernnnedoffbi mike rapoport gari king 
895,fix kernel oop if the journal superblock ha a nonzero jerrnonncommit fix an account bug onli to introduc thenposs of a kernel oop if the journal ha a nonzero jerrnonfield indic that the file system had detect a fs inconsistencynaft the journal replay if the journal superblock indic that thenfil system ha an error thi indic is transfer to the filensystem and then is call to write thi to thendisknnbut sinc the percpu counter are now ializ after the journalnreplay the call to will caus a kernel oop sincenit need to use the percpu counter the superblock structurennth fix is to skip set the free block and free inod fieldsnif the percpu counter ha not been setnnthank to ken sumral for report and analyz the root caus ofnthi bugnnaddressesgooglebug theodor 
896,mfd add basic interrupt supportnnadd support for enabl and disabl subdevic interruptsnnnedoffbi gari king 
897,rtc add alarm support to drivernnnedoffbi gari king 
898,fix issu in the public bug databas document of androiddatabasecursor wa updat to mention thatnth array that is return by getcolumnnam must not be modifiednid 
899,remov contactstest gm dependenciesnnbug the assert that reli on gm be present take off thenknownfailur annotationnid 
900,unus privat member remov from accountsyncsettingsnunus local variabl remov from addaccountsettingsnoverrid warn fix for syncactivitytoomanydeletesnid 
901,adt deal with miss custom view classesnn detect miss view class and replac them by a mockviewn thi alon make the render use instead of not updat itn on errorn display the name of the miss view classesn make them hot link and display the new class wizard to creat themnid 
902,clarifi document of cursor get methodsnnmak clear in the javadoc comment of the cursor get method thatnimplement thereof can have implementationdefin behavior In some casesnthes chang actual correct the document for exampl in the case ofngetshort and the sqlitecursor implement thereof nonnumer data isnnot convert to a short via shortvalueof or even in a functionallynequival mannernid 
903,fix httpproxi implement to work correctli with chunk encodingnid 
904,telephoni proper handl of incorrect proactiv commandsnnfor incorrect proactiv command that be decod successfullynfil for command detail As per spec TS section thenuicc shall interpret a termin respons with a command number asnbelong to the last sent proactiv commandnid 
905,document perimplement behavior of nativ get methodsnid 
906,hide privat symbol use gcc visibl pragmannlibcso should not export all privat symbol to reflect android ndknthi patch attempt to use gcc visibl pragma to hide the privatensymbol in bionic thi also let the optim produc better andnsmal codennrefer experiment result of qualcomm $ armeabis systemliblibcson text data bss dec hex filenamen systemliblibcsonnaftern$ armeabis systemliblibcson text data bss dec hex filenamen systemliblibcsonid 
907,fix typonid 
908,fix qualifierlisttest and configmatchtest unittestsnntestqualifierlist check the number of qualifiersnagainst folderconfigurationindexcount except mismatch sinc there wa no index wa miss the new docknight and nav statenid 
909,add subaddress to sm fingerprint calculationnna per sm specif in section if thensubaddress is includ in a cdma sm messag it need to be use forndupl detect subaddress which is an option field wa omittednwhil comput the sm fingerprint henc it wa never be use inndupl detect if it wa includ in the sm add subaddress to thensm fingerprintnid 
910,arm tegra setup usb phi as recommend by nvidiannthi fix enumer issu with some devicesnid benoit gobi 
911,adjust memcpi for arm cortex cach line sizennarm cortex use byte and arm cortex use byte cach line sizennth follow patchn add code to adjust memcpi cach line size to match cach line sizen add a flag to select between byte and byte cach line sizenid christian bejram 
912,modifi format of SD card to use minor macronnmodifi volumecpp to use correct block ID when callingnnewfsmsdo to creat fat structur on SD cardsnnow use the minor macro instead of hard code constantnid rikard olsson christian bejram 
913,use implement of atom operationsnninstead of gener global lock defin by dbu on platformsnandroid could directli util it own atom oper implementationnid 
914,add telephoni featur testsnnbug that the getphonetyp return valu make sens withnth featur report by packagemanagergetsystemavailablefeaturesnand packagemanagerhasfeaturenid 
915,fix unlockscreen show issuennin the case unlockscreen show becaus the run onsimstatechang handleresetnso add an examin in reset to dokeyguard if not showingnid 
916,fix issu in the public bug databas javadoc comment for class androidcontenturimatch had four the exampl call to adduri should not be use a lead forward slash inn the path paramet report by ester the sampl code to construct a urimatch wa incorrect becaus then urimatch constructor take a paramet report by ross the code exampl for use match wa incorrect becaus it show twon paramet be pass when match onli take one report byn ross the sampl gettyp implement were incorrect becaus gettyp takesn a uri object not an array of stringsnid 
917,gp fix the geo fix consol command and ad satellit count emulationnid 
918,fix build on OS X snow leopardnnit should also set includ path when set 
919,fix for dexopt No such file or directori errornnwhen commonjavalibjar is creat both localbuiltmodul andnbuiltodex target can be runnnif builtodex target run befor the directori is creat bynlocalbuiltmodul target the error occursnid 
920,functionf ial implementationnnthi patch is intend to demonstr the possibl of use adbdnandroid debug bridg daemon with a gener functionf gadget insteadnof a custom adb usb gadget in the linux kernel the patch addsna replac usb access layer to adbd it add a new layer asna copi of an exist usblinuxclientc and introducesnfunctionf support proper on top of the copi layer the former usb accessnmethod is still avail the method is chosen at compil time bynset useusbfuncf variabl to fals in androidmk in the sectionnded to adbdnnhow to use on the target devicenn$ insmod gffsko $ mount t functionf adb devusbgadgetadb o $ adbdnnth linux kernel driversusbgadgetcompositec containsnmodul paramet defion for idvendor and iserialnumb and wasnverifi to work adb devic issu on host will list asnth devic namennin case adbd doe not switch it ident to respectivenopt are not requir in the mount command abov It depend on adbnproperti If adbd is run standalon no more android stuff then thenproperti are set to their default which impli switch uidgid andrzej pietrasiewicz kyungmin park 
921,fix eclipsetestcollector for eclips junit libnnsom method signatur have changednid 
922,arm tegra move display clock from tegrafb to tegradcnnnedoffbi erik gill 
923,attempt to fix buildnid 
924,hide libm privat symbol use gcc visibl pragmannfollow the visibl chang in libcso thi patch attempt to hidenpriv symbol in libmsonnrefer code size measur for htc passionn$ armeabis outtargetproductpassionsystemliblibmsonnbeforen textt datat bsst dect hextfilenamen textt datat bsst dect hextfilenamen 
925,throw more except from cursor classesnnad throw claus to the signatur of the get method that retrievenvalu from columnsnid 
926,ad a new content provid for read specif oper flag from the sim cardnncustom option are increas by introduc a way to read specif operatorndefin flag from the sim card oper can store inform on the sim card thatncan be read at runtim or at phone start up thi enabl the possibl to use differentnset depend on the inform store on the sim card An oper can for instancenhav differ apn set depend on whether the sim card is prepay or postpaynid 
927,video support dsi for in kconfignid erik gill 
928,qualiti of servic qo support in android ril apisnn add ril api to enabl the use of qo in mobil datan api to enabl creation delet and modif ofn traffic flow on variou radio technologiesn support for specifi variou flow and filter parametersnid 
929,arm hwmod allow enabl to be call on enabl hwmodnnsom hwmod are left enabl dure boot to avoid resettingncrit subsystem If enabl is call it will printna warn that the hwmod is not in the disabl or idlenst expand the check to allow hwmod to be in the enablednstatenid colin cross 
